2023-09-18 10:57:58 511:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:57:58 516:  ABC5678匹配到進場紀錄
2023-09-18 10:57:58 559:  ABC5678 = openFlag =>　False
2023-09-18 10:57:58 559:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:57:58 569:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:57:58_2_出口_2fcfc5628e0a4bb3ad7f0e4340594fd0_1__8011_False_/Images/Licences/2023918/a38216660aaf4f94b6e21695c3fcc87e20230918105749.jpg_1_4892974923087663920_2023091810575856917
2023-09-18 10:57:58 569:  Return:ABC5678_No
2023-09-18 10:58:01 777:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:01 821:  ABC5678,计费处理
2023-09-18 10:58:01 821:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:01 822:  Return:ABC5678_No
2023-09-18 10:58:04 821:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:04 865:  ABC5678,计费处理
2023-09-18 10:58:04 865:  ABC5678 => RecognizeType = 8
2023-09-18 10:58:04 865:  ABC5678 => 並非無車牌
2023-09-18 10:58:04 866:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:58:04 866:  ABC5678 => 通道 : 2
2023-09-18 10:58:04 866:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:58:04 872:  ABC5678匹配到進場紀錄
2023-09-18 10:58:04 911:  ABC5678 = openFlag =>　False
2023-09-18 10:58:04 911:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:58:04 919:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:58:04_2_出口_c00d4359554d49f1916955ed7409d5ba_1__8011_False_/Images/Licences/2023918/2e44143630b04675ae0eb2645682950e20230918105884.jpg_1_4892974923087663920_2023091810580491969
2023-09-18 10:58:04 920:  Return:ABC5678_No
2023-09-18 10:58:05 594:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:05 639:  ABC5678,计费处理
2023-09-18 10:58:05 639:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:05 639:  Return:ABC5678_No
2023-09-18 10:58:08 096:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:08 146:  ABC5678,计费处理
2023-09-18 10:58:08 147:  ABC5678 => RecognizeType = 8
2023-09-18 10:58:08 147:  ABC5678 => 並非無車牌
2023-09-18 10:58:08 147:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:58:08 148:  ABC5678 => 通道 : 2
2023-09-18 10:58:08 148:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:58:08 158:  ABC5678匹配到進場紀錄
2023-09-18 10:58:08 191:  ABC5678 = openFlag =>　False
2023-09-18 10:58:08 192:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:58:08 199:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:58:08_2_出口_a0a90cf771f94b62a5d74b2f43980abb_1__8011_False_/Images/Licences/2023918/8b0799d643bf488fa29f3cb02cb4f96420230918105812.jpg_1_4892974923087663920_2023091810580819944
2023-09-18 10:58:08 200:  Return:ABC5678_No
2023-09-18 10:58:08 955:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:09 000:  ABC5678,计费处理
2023-09-18 10:58:09 000:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:09 000:  Return:ABC5678_No
2023-09-18 10:58:11 962:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:12 007:  ABC5678,计费处理
2023-09-18 10:58:12 007:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:12 007:  Return:ABC5678_No
2023-09-18 10:58:19 508:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:19 557:  ABC5678,计费处理
2023-09-18 10:58:19 557:  ABC5678 => RecognizeType = 8
2023-09-18 10:58:19 557:  ABC5678 => 並非無車牌
2023-09-18 10:58:19 558:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:58:19 558:  ABC5678 => 通道 : 2
2023-09-18 10:58:19 559:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:58:19 565:  ABC5678匹配到進場紀錄
2023-09-18 10:58:19 612:  ABC5678 = openFlag =>　False
2023-09-18 10:58:19 612:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:58:19 627:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:58:19_2_出口_c5cc3ce23e6b4c83b6278cc7bf3592c0_1__8011_False_/Images/Licences/2023918/a8437de7f090420ab3e61582886bc52120230918105853.jpg_1_4892974923087663920_2023091810581962761
2023-09-18 10:58:19 628:  Return:ABC5678_No
2023-09-18 10:58:20 779:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:20 832:  ABC5678,计费处理
2023-09-18 10:58:20 833:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:20 833:  Return:ABC5678_No
2023-09-18 10:58:22 873:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:22 917:  ABC5678,计费处理
2023-09-18 10:58:22 917:  ABC5678 => RecognizeType = 8
2023-09-18 10:58:22 917:  ABC5678 => 並非無車牌
2023-09-18 10:58:22 918:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:58:22 918:  ABC5678 => 通道 : 2
2023-09-18 10:58:22 918:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:58:22 925:  ABC5678匹配到進場紀錄
2023-09-18 10:58:22 967:  ABC5678 = openFlag =>　False
2023-09-18 10:58:22 968:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:58:22 975:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:58:22_2_出口_148f1a463cff4819ae64f4074b17c1cc_1__8011_False_/Images/Licences/2023918/dbc05b7f7889416e907e5413945a918620230918105889.jpg_1_4892974923087663920_2023091810582297511
2023-09-18 10:58:22 976:  Return:ABC5678_No
2023-09-18 10:58:24 328:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:24 375:  ABC5678,计费处理
2023-09-18 10:58:24 375:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:24 375:  Return:ABC5678_No
2023-09-18 10:58:27 745:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:27 789:  ABC5678,计费处理
2023-09-18 10:58:27 789:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:27 789:  Return:ABC5678_No
2023-09-18 10:58:31 071:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:31 122:  ABC5678,计费处理
2023-09-18 10:58:31 122:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:31 122:  Return:ABC5678_No
2023-09-18 10:58:34 229:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:34 271:  ABC5678,计费处理
2023-09-18 10:58:34 272:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:34 272:  Return:ABC5678_No
2023-09-18 10:58:38 448:  Camera:192.168.1.101_ABC5678
2023-09-18 10:58:38 493:  ABC5678,计费处理
2023-09-18 10:58:38 493:  ABC5678 => RecognizeType = 4
2023-09-18 10:58:38 494:  Return:ABC5678_No
2023-09-18 10:58:41 617:  Camera:192.168.1.101_ABC5678
